word,meaning
𢖵,"['nhớ', 'nhỉ', 'nhờ', 'nỡ', 'nhỡ', 'nợ', 'ai', 'lỡ', 'ưa']"
𢜠,"['mừng', 'mầng']"
𢝙,"['vui', 'vùi', 'buồn', 'bui']"
𪀄,"['chim', 'chiêm']"
𤽗,"['ngươi', 'người', 'ngượi', 'ngây']"
𦹵,['cỏ']
﨤,"['kịp', 'gặp', 'giớp', 'rặt', 'gấp', 'ngập', 'vừa']"
𡛔,"['gái', 'cái', 'cưới']"
𣷭,"['bể', 'biển', 'bề', 'ba', 'bẻ']"
畑,"['đèn', 'đền', 'càn', 'dền', 'vặc']"
焒,"['rỡ', 'lửa', 'lữa', 'rữa', 'lả']"
𡶀,"['núi', 'thịt', 'mấy']"
𣎃,"['tháng', 'thoáng']"
𣳔,"['dòng', 'ròng', 'giòng', 'dùng', 'rụng', 'chùng', 'giong', 'vụng', 'khát', 'loài', 'dông', 'giông', 'ruồng', 'rúng', 'rộng', 'song', 'sòng', 'vùng']"
𫢩,"['nay', 'này']"
𫨩,"['hay', 'hây']"
𣎏,"['có', 'khó']"
𡎢,"['ngồi', 'nàng']"
𡗉,"['nhiều', 'nhiêu', 'liều', 'nhèo']"
𤤰,"['vua', 'bua']"
𡦂,"['chữ', 'giữ', 'thuở']"
𦀊,"['dây', 'giây', 'tơ', 'đây', 'rây', 'dai']"
󰝡,"['đem', 'đăm', 'đơm', 'đâm', 'đam']"
𨢇,"['rượu', 'gạo']"
𠚢,['ra']
𠸗,"['xưa', 'sô', 'sơ']"
𣦍,"['ngay', 'ngày', 'ngây', 'nghe']"
𦣰,"['nằn', 'nằm']"
𦰟,"['ngọn', 'ngón', 'vơ']"
𣇞,"['giờ', 'dờ', 'chờ', 'chừ']"
㤕,"['xót', 'chút', 'khoá', 'trót', 'đốt', 'sót']"
𣈙,"['rày', 'rầy', 'tày']"
𣅶,['lúc']
𨉟,['mình']
󰝂,"['đem', 'đâm', 'thòm', 'đơm', 'đăm', 'chấm']"
胣,"['dạ', 'da', 'lòng', 'giạ', 'đã', 'nhựa', 'rạ']"
𤴬,"['đau', 'đạu']"
𠳐,"['vâng', 'bưng', 'lời', 'bâng']"
𨖅,"['sang', 'lang', 'xang']"
𦎛,['gương']
𡎝,"['cõi', 'quẽ', 'cổi', 'cỏi']"
𩙌,"['gió', 'nắng']"
󰡎,"['dưới', 'xuống']"
䋦,"['mối', 'mây', 'mai', 'nối', 'múi', 'mồi']"
𢀭,"['giàu', 'trầu', 'giầu', 'chàu']"
𨅸,"['đấng', 'đứng', 'xứng', 'đãng', 'lãng']"
䜹,"['thưa', 'thơ', 'thờ', 'thư']"
𦲿,"['lá', 'la', 'là', 'xe']"
𡗋,"['lắm', 'lầm', 'rấm', 'dấm']"
𡞕,['vợ']
𠸦,"['khen', 'khan', 'khản', 'khàn']"
𩯀,['tóc']
𤑟,"['rõ', 'rỡ', 'tỏ', 'sỗ']"
𫴋,"['xuống', 'dưới']"
𫗄,['gió']
󰅒,"['nay', 'cũ']"
𨉓,['mình']
𡨸,"['chữ', 'giữ', 'chử', 'tên']"
𠃣,"['ít', 'ắt', 'ịt']"
𫏾,['trước']
𣌋,['sớm']
𨔍,"['lạ', 'là', 'la']"
𡑝,"['sân', 'lân', 'lăn']"
𠳚,"['gởi', 'gửi', 'khảy', 'chửi', 'gưởi', 'khởi', 'cãi']"
㳥,"['sóng', 'rụng', 'lùng', 'lộng', 'lóng', 'song', 'luông', 'lạnh', 'lỏng']"
𩵜,"['cá', 'ngơ']"
𠁑,"['dưới', 'xuống', 'dười']"
𫀅,"['xem', 'coi']"
𣎀,['đêm']
𠸜,['tên']
𤽸,"['trắng', 'trứng']"
𨷑,['mở']
𣋚,"['hôm', 'tối']"
𦹳,"['thơm', 'ham']"
𢜝,"['sợ', 'sực']"
𥢆,"['riêng', 'giêng']"
𪜀,"['là', 'ra', 'la']"
眜,"['mắt', 'mạch']"
𦟐,"['má', 'mỡ', 'mựa']"
𠃅,"['mái', 'mé', 'máy']"
𫳵,['sao']
󰞺,"['nét', 'nát', 'nết']"
𨤔,"['vẻ', 'vủi', 'vẽ', 'kẻ']"
𢴑,"['dứt', 'dắt', 'tắt', 'giắt', 'lắt', 'đứt', 'rắc', 'dắc', 'ngắt', 'tất']"
𨔈,"['chơi', 'chạy', 'chới']"
𦬑,"['nở', 'nỡ', 'nứa', 'nợ']"
𡭧,"['chút', 'chat']"
𦑃,"['cánh', 'canh']"
𠃩,"['chín', 'chỉn', 'cửu']"
𬑉,"['mắt', 'mặt', 'mù', 'mắc']"
𢌌,['rộng']
𥆾,"['nhìn', 'nhận']"
𠖤,['bay']
󱚢,['vào']
𠉞,"['nay', 'này']"
𥛉,"['lạy', 'lại', 'vái', 'bái', 'lấy', 'lậy']"
𡧲,"['giữa', 'trong']"
𦷾,"['đấy', 'đây']"
𡬷,"['tấc', 'gang']"
𥘀,"['nặng', 'nén']"
𠹾,"['chịu', 'chiệu']"
𠅜,"['lời', 'trời', 'lìa', 'lề', 'rời']"
𢀨,['sang']
𬌓,['tấm']
𧘇,"['ấy', 'ất', 'ý']"
𦥃,['đến']
󰘂,['cửa']
𧷺,"['tròn', 'vòng']"
𢞂,"['buồn', 'vui']"
𠀲,"['đứa', 'ứa']"
𠤆,['chớ']
󰠳,['đâu']
𩃳,['bóng']
𣈘,"['đêm', 'trăng']"
𫅜,"['lành', 'già', 'lình', 'nành']"
󰟯,"['dường', 'dáng', 'dàng', 'lòng', 'nhàng']"
𪠞,['đi']
𥘷,"['trẻ', 'nhỏ', 'rẻ']"
𨒒,"['mười', 'mươi', 'mời']"
𪮏,['tay']
󰬾,['ba']
𬮌,['cửa']
𤐝,"['soi', 'sôi', 'xôi', 'xổi']"
𡮈,"['nhỏ', 'mềm', 'nho']"
𬙞,"['bảy', 'bẩy', 'bởi']"
𨃴,['gót']
𦛌,"['ruột', 'nuột']"
燶,"['nóng', 'nồng', 'nung', 'nùng', 'nông', 'nồng;']"
𪟽,"['ngờ', 'nghi', 'ngừa', 'ngừng', 'nghĩ', 'ngơ', 'ngơi', 'hề', 'ngỡ', 'ngại', 'ngây']"
𧊉,"['bướm', 'phím', 'bẹp']"
𭛣,"['việc', 'dịch']"
𨍦,"['sau', 'trước']"
𣩂,"['chết', 'giết', 'làm']"
󱋓,"['chén', 'chán']"
𣇜,"['buổi', 'bữa', 'quá']"
𤉜,['ràng']
𡮍,['chút']
𢷀,"['rủ', 'rũ', 'nhổ', 'giũ', 'nắm', 'dủ', 'sao', 'bai', 'dó', 'xủ']"
𤞻,"['hùm', 'kia', 'hầm', 'hạm']"
𪧚,"['giữ', 'chữ', 'dữ']"
𩙍,['gió']
𦧘,['thịt']
𢢆,"['thẹn', 'thèn']"
𨤰,"['lẽ', 'nhẽ', 'lý', 'nhé', 'khẽ']"
𪽝,"['bởi', 'bới']"
𨁪,"['dấu', 'giấu', 'dẫu']"
𩚵,['cơm']
𦓿,"['cày', 'cầy', 'cấy', 'gày']"
𩂏,['che']
𬈋,"['làm', 'lạm', 'trộm', 'nhớ']"
㵢,"['sôi', 'trôi', 'soi', 'giồi', 'loi', 'lôi', 'sùi']"
𥋳,"['coi', 'cọi']"
𧏵,"['rồng', 'trồng', 'luồng']"
𨷈,"['muôn', 'vạn']"
𤯩,"['sống', 'sông']"
𢈱,"['lời', 'đặng']"
𢄂,['chợ']
𬌥,['trâu']
𢚁,"['cậy', 'nghỉ', 'cạy']"
𫳘,"['chữ', 'giữ']"
𡄎,"['gớm', 'gắm', 'ngâm', 'ngẫm', 'ngắm', 'ngấm', 'gẫm', 'gặm', 'ngẩm', 'ỷ', 'căm', 'gậm']"
𠑬,['nhau']
𤁕,"['lát', 'lọt', 'lạt', 'nhạt', 'lướt', 'thướt', 'lất', 'lợt', 'nhờn', 'nhợt', 'lượt', 'lặt', 'rạt']"
󰝸,"['chẳng', 'chăng']"
𣷷,"['biển', 'bến', 'bén', 'biến']"
𠺙,"['thổi', 'thói', 'thối', 'thủi']"
𤋵,"['giãi', 'giải', 'dãi']"
𫔳,"['cửa', 'của']"
𦒹,['sáu']
𩛂,['no']
𠄽,"['vài', 'hai']"
𠶆,['mời']
𧖱,['máu']
𣈕,['mai']
𡥙,['cháu']
𥉫,"['trông', 'lung']"
𣉹,"['giờ', 'chừ', 'chờ']"
𡲤,"['vả', 'vã', 'vẽ', 'vỡ']"
𥪸,"['đứng', 'đấng']"
𩛷,"['bữa', 'bửa']"
𨄹,"['dạo', 'giạo', 'rạo', 'rảo']"
𡓮,"['ngồi', 'ngôi']"
𠺥,"['chịu', 'nhịn']"
𩅹,"['mưa', 'mây']"
𦤾,"['đến', 'ến']"
𠰚,"['nhé', 'nhẽ', 'nhỉ', 'nể', 'nỉ', 'nhạy', 'nhẻ']"
𫃚,"['vóc', 'buộc', 'bọc', 'bọt']"
𠫅,"['dày', 'giày', 'đầy', 'giầy', 'dầy', 'dây']"
𡨺,"['giữ', 'giữa', 'dữ', 'chử', 'chữ', 'trữ']"
𠽖,"['chục', 'giục', 'chuộc']"
𢯏,"['bẻ', 'vơ', 'bể', 'vờ']"
𢗼,"['lo', 'lò', 'lừa', 'lu']"
堛,"['bậc', 'bực', 'vực', 'bức']"
𰿘,['muôn']
𢬭,"['đổi', 'đuổi', 'dủi', 'giói']"
󱳮,"['lo', 'lơ']"
󰁰,"['mươi', 'mười']"
𡎥,['ngồi']
𣘈,['son']
𠻀,"['trò', 'dò', 'dỗ', 'đùa', 'dọ', 'giồ']"
𠠩,"['trước', 'chước']"
𡢻,['nợ']
𤼸,"['dâng', 'giâng', 'dân', 'dưng']"
𧜖,"['chăng', 'chăn']"
󰏙,['xem']
𦓅,"['già', 'rà']"
𠻵,"['mắng', 'mảng', 'vẳng']"
𤳇,"['trai', 'giai', 'vằng']"
𬇚,"['ao', 'ạo', 'ào']"
洡,"['dồi', 'lội', 'sùi', 'ròi', 'giội', 'giồi', 'xối', 'trồi', 'rồi', 'trôi', 'doi', 'lầy', 'suối', 'rơi', 'lồi', 'chuôi', 'dội', 'soi', 'suôi', 'sủi', 'xùi']"
󰠱,"['nện', 'nén', 'nặng', 'nhẹ', 'rắn']"
㧅,"['đeo', 'xưa', 'đèo', 'neo', 'trơ']"
𬮙,['muôn']
摱,"['mần', 'mượn', 'muợn', 'mặn', 'mướn']"
󰡫,['thế']
𨤮,"['dặm', 'rườm', 'dậm', 'đẫm']"
𬷤,['gà']
𥄭,"['ngủ', 'ngó']"
𫼳,"['mang', 'màng']"
𡾵,"['ngôi', 'ngồi', 'khi']"
𥐆,"['vắn', 'ngắn']"
𡃹,"['chén', 'cốc', 'chán']"
,"['làm', 'mần']"
𫷜,['năm']
𡊰,"['đền', 'ruộng']"
𧺀,"['thắm', 'thỏm', 'thẫm']"
𨇜,"['đủ', 'đỏ']"
𨆢,"['lui', 'lùi', 'lôi']"
𤎜,"['sáng', 'rạng', 'ràng', 'choáng', 'lảng', 'rang', 'rậng', 'sắng']"
𢀲,"['lớn', 'nhớn', 'sớn', 'trái']"
䋥,"['lưới', 'lẽ', 'lái']"
𦼔,"['rêu', 'lều', 'leo']"
𨤵,"['dặm', 'rậm']"
㙴,['thềm']
𠯇,"['rỉ', 'rẽ', 'dỉ', 'dấy', 'dẽ', 'rĩ', 'dẫy']"
𠾕,"['đồi', 'đòi', 'ở', 'xổi', 'dỗi', 'giỗi']"
㝹,"['nao', 'nau', 'niu', 'nào']"
𩛜,"['đói', 'đổi']"
𤷍,"['gầy', 'gày', 'cài', 'kè']"
𥺊,"['gạo', 'cháo']"
𧼋,"['chạy', 'chơi']"
𠽋,"['nứt', 'nức', 'nực', 'nắc', 'nấc']"
𤒘,"['đuốc', 'đúc', 'đuộc']"
